j,GM,Make,Model,Quantity,MarginalCost,Price,GPM,Weight,HP
192,0,Toyota,Sienna,87188,21.2108839,25.789871,0.045848016,4316.274602,266
193,0,Toyota,Tacoma,147139,19.0962494,22.329166,0.049037188,3785.059156,213.0955627
194,0,Toyota,Tundra,149450,27.174537,30.19393,0.060926829,4600.289093,269.1297424
195,0,Toyota,Yaris,135052,11.3076899,13.675211,0.027713425,2293,106
196,0,Volkswagen,Eos,13091,26.4324481,31.591609,0.038333885,3521.923382,204.6749675
197,0,Volkswagen,Jetta,83099,18.7169149,19.685461,0.039776132,3233.062359,152.9843921
198,0,Volkswagen,New Beetle,26562,18.7032816,20.781424,0.03846154,3056.708983,150
199,0,Volkswagen,Newgti,14860,18.4512975,23.834775,0.036375664,3141.333333,200
200,0,Volkswagen,Passat,38866,20.6931184,25.214576,0.039461035,3415.506741,208.6245047
201,0,Volkswagen,Rabbit,25509,12.2729631,16.969959,0.039999999,3039.666667,150
202,0,Volkswagen,Touareg,4180,34.3804024,37.089336,0.0592633,5178.287081,284.8516746
203,0,Volvo,C70,4681,39.0787399,42.309711,0.043260869,3743,218
204,0,Volvo,S40,21627,19.4386678,23.820742,0.040266655,3252.935867,171.8331715
205,0,Volvo,S60,19983,24.2146691,28.016299,0.04298535,3539.673673,215.0521944
206,0,Volvo,S80,10501,31.5331404,38.370156,0.048141673,3858.16827,251.6822207
207,0,Volvo,V50,3354,23.0580899,26.731211,0.040991664,3399.677996,187.0369708
208,0,Volvo,V70,3892,26.8105715,30.900635,0.043716799,3463.884892,216.7697842
209,0,Volvo,Xc70,11956,29.7041346,33.004594,0.047619049,3675,208
210,0,Volvo,Xc90,28773,34.2376488,38.041832,0.055325888,4547.173392,249.907865
